key,faboc_store,unit_filter,hp_name,kind,mode,page_path,list_page,publish,campaign,note
sagamidai_tr,TR相模台,トランクルーム,TR相模台,indoor,room,/sagamihara/minami/sagmidai/tr,/okunai/sagamihara,1,６か月以上利用で初月賃料無料,
araisono,新磯野,コンテナ,新磯野,outdoor,type,/sagamihara/minami/araisono,/okugai/sagamihara,1,６か月以上利用で初月賃料無料,
isobe,磯部,コンテナ,磯部,outdoor,type,/sagamihara/minami/isobe,/okugai/sagamihara,1,６か月以上利用で初月賃料無料,
kamiimaizumi,上今泉,コンテナ,上今泉,outdoor,type,/ebina/kamiimaizumi,/okugai/ebina,1,６か月以上利用で初月賃料無料,
oikawa,及川,コンテナ,及川,outdoor,type,/atsugi/oikawa,/okugai/atsugi,1,６か月以上利用で初月賃料無料,
ootanimimami,★2025解約★大谷南,,大谷南,outdoor,type,,,0,,解約済のため非公開
okada_a,岡田Ａ,コンテナ,岡田A,outdoor,type,/atsugi/okada/a,/okugai/atsugi,1,６か月以上利用で初月賃料無料,
okada_b,岡田Ｂ,コンテナ,岡田B,outdoor,type,/atsugi/okada/b,/okugai/atsugi,1,６か月以上利用で初月賃料無料,駐車場UNITは除外
onna,恩名,コンテナ,恩名,outdoor,type,/atsugi/onna,/okugai/atsugi,1,６か月以上利用で初月賃料無料,
kamiogino,上荻野,コンテナ,上荻野,outdoor,type,/atsugi/kamiogino,/okugai/atsugi,1,６か月以上利用で初月賃料無料,
kamigo,上郷2024年7月解約,,上郷,outdoor,type,,,0,,解約済のため非公開
kokubuminami,国分南,コンテナ,国分南,outdoor,type,/ebina/kokubuminami,/okugai/ebina,1,６か月以上利用で初月賃料無料,
sagamidai,相模台,コンテナ,相模台,outdoor,type,/sagamihara/minami/sagmidai,/okugai/sagamihara,1,６か月以上利用で初月賃料無料,
sagamidai_bike,相模台,バイク,相模台,bike,room,/sagamihara/minami/sagamidai/bike,/bike/sagamihara,1,６か月以上利用で初月賃料無料,
nakatu_b,中津Ｂ,コンテナ,中津B,outdoor,type,/aikawa/nakatu/b,/okugai/aikougunaikawamati,1,６か月以上利用で初月賃料無料,
cyuourinkannisi,中央林間西,コンテナ,中央林間西,outdoor,type,/yamato/cyuourinkannisi,/okugai/yamato,1,６か月以上利用で初月賃料無料,
simoogino_c,下荻野Ｃ,コンテナ,下荻野C,outdoor,type,/atsugi/simoogino/c,/okugai/atsugi,1,６か月以上利用で初月賃料無料,
tumadanisi_a,妻田西Ａ,コンテナ,妻田西A,outdoor,type,/atsugi/tumadanisi/a,/okugai/atsugi,1,６か月以上利用で初月賃料無料,
tumadanisi_b,妻田西Ｂ,コンテナ,妻田西B,outdoor,type,/atsugi/tumadanisi/b,/okugai/atsugi,1,６か月以上利用で初月賃料無料,
simoogino_b,下荻野Ｂ,コンテナ,下荻野B,outdoor,type,/atsugi/simoogino/b,/okugai/atsugi,1,６か月以上利用で初月賃料無料,
sugikubokita,杉久保北,コンテナ,杉久保北,outdoor,type,/ebina/sugikubokita,/okugai/ebina,1,６か月以上利用で初月賃料無料,
